Card Name:Card Type:CMC:P:T:Rarity:Set:URL Nmbr
Advent of the Wurm:Instant:1GGW:::R:DGM:369036
AEtherling::::::DGM:368961
Alive/Well::::::DGM:369041
Armed/Dangerous::::::DGM:368989
Armored Wolf-Rider::::::DGM:369082
Ascended Lawmage::::::DGM:369016
Far/Away::::::DGM:FarAway
Awe for the Guilds::::::DGM:Awe for the Guilds
Azorius Cluestone::::::DGM:Azorius Cluestone
Azorius Guildgate::::::DGM:Azorius Guildgate
Bane Alley Blackguard::::::DGM:Bane Alley Blackguard
Battering Krasis::::::DGM:Battering Krasis
Beck/Call::::::DGM:BeckCall
Beetleform Mage::::::DGM:Beetleform Mage
Blast of Genius::::::DGM:Blast of Genius
Blaze Commando::::::DGM:Blaze Commando
Flesh/Blood::::::DGM:FleshBlood
Blood Baron of Vizkopa::::::DGM:Blood Baron of Vizkopa
Blood Scrivener::::::DGM:Blood Scrivener
Boros Battleshaper::::::DGM:Boros Battleshaper
Boros Cluestone::::::DGM:Boros Cluestone
Boros Guildgate::::::DGM:Boros Guildgate
Boros Mastiff::::::DGM:Boros Mastiff
Breaking/Entering::::::DGM:BreakingEntering
Bred for the Hunt::::::DGM:Bred for the Hunt
Bronzebeak Moa::::::DGM:Bronzebeak Moa
Turn/Burn::::::DGM:TurnBurn
Carnage Gladiator::::::DGM:Carnage Gladiator
Catch/Release::::::DGM:CatchRelease
Clear a Path::::::DGM:Clear a Path
Council of the Absolute::::::DGM:Council of the Absolute
Crypt Incursion::::::DGM:Crypt Incursion
Deadbridge Chant::::::DGM:Deadbridge Chant
Debt to the Deathless::::::DGM:Debt to the Deathless
Deputy of Acquittals::::::DGM:Deputy of Acquittals
Dimir Cluestone::::::DGM:Dimir Cluestone
Dimir Guildgate::::::DGM:Dimir Guildgate
Down/Dirty::::::DGM:DownDirty
Dragonshift::::::DGM:Dragonshift
Drown in Filth::::::DGM:Drown in Filth
Emmara Tandris::::::DGM:Emmara Tandris
Exava, Rakdos Blood Witch::::::DGM:Exava, Rakdos Blood Witch
Fatal Fumes::::::DGM:Fatal Fumes
Feral Animist::::::DGM:Feral Animist
Fluxcharger::::::DGM:Fluxcharger
Gaze of Granite::::::DGM:Gaze of Granite
Give/Take::::::DGM:GiveTake
Gleam of Battle::::::DGM:Gleam of Battle
Goblin Test Pilot::::::DGM:Goblin Test Pilot
Golgari Cluestone::::::DGM:Golgari Cluestone
Golgari Guildgate::::::DGM:Golgari Guildgate
Gruul Cluestone::::::DGM:Gruul Cluestone
Gruul Guildgate::::::DGM:Gruul Guildgate
Gruul War Chant::::::DGM:Gruul War Chant
Haazda Snare Squad::::::DGM:Haazda Snare Squad
Haunter of Nightveil::::::DGM:Haunter of Nightveil
Hidden Strings::::::DGM:Hidden Strings
Hired Torturer::::::DGM:Hired Torturer
Izzet Cluestone::::::DGM:Izzet Cluestone
Izzet Guildgate::::::DGM:Izzet Guildgate
Jelenn Sphinx::::::DGM:Jelenn Sphinx
Korozda Gorgon::::::DGM:Korozda Gorgon
Krasis Incubation::::::DGM:Krasis Incubation
Kraul Warrior::::::DGM:Kraul Warrior
Lavinia of the Tenth::::::DGM:Lavinia of the Tenth
Legion's Initiative::::::DGM:Legion's Initiative
Profit/Loss::::::DGM:ProfitLoss
Lyev Decree::::::DGM:Lyev Decree
Master of Cruelties::::::DGM:Master of Cruelties
Maw of the Obzedat::::::DGM:Maw of the Obzedat
Maze Abomination::::::DGM:Maze Abomination
Maze Behemoth::::::DGM:Maze Behemoth
Maze Glider::::::DGM:Maze Glider
Maze Rusher::::::DGM:Maze Rusher
Maze Sentinel::::::DGM:Maze Sentinel
Maze's End::::::DGM:Maze's End
Melek, Izzet Paragon::::::DGM:Melek, Izzet Paragon
Mending Touch::::::DGM:Mending Touch
Mindstatic::::::DGM:Mindstatic
Mirko Vosk, Mind Drinker::::::DGM:Mirko Vosk, Mind Drinker
Morgue Burst::::::DGM:Morgue Burst
Murmuring Phantasm::::::DGM:Murmuring Phantasm
Mutant's Prey::::::DGM:Mutant's Prey
Nivix Cyclops::::::DGM:Nivix Cyclops
Notion Thief::::::DGM:Notion Thief
Obzedat's Aid::::::DGM:Obzedat's Aid
Opal Lake Gatekeepers::::::DGM:Opal Lake Gatekeepers
Orzhov Cluestone::::::DGM:Orzhov Cluestone
Orzhov Guildgate::::::DGM:Orzhov Guildgate
Phytoburst::::::DGM:Phytoburst
Pilfered Plans::::::DGM:Pilfered Plans
Plasm Capture::::::DGM:Plasm Capture
Pontiff of Blight::::::DGM:Pontiff of Blight
Possibility Storm::::::DGM:Possibility Storm
Progenitor Mimic::::::DGM:Progenitor Mimic
Protect/Serve::::::DGM:ProtectServe
Punish the Enemy::::::DGM:Punish the Enemy
Putrefy::::::DGM:Putrefy
Pyrewild Shaman::::::DGM:Pyrewild Shaman
Rakdos Cluestone::::::DGM:Rakdos Cluestone
Rakdos Drake::::::DGM:Rakdos Drake
Rakdos Guildgate::::::DGM:Rakdos Guildgate
Ral Zarek::::::DGM:Ral Zarek
Ready/Willing::::::DGM:ReadyWilling
Reap Intellect::::::DGM:Reap Intellect
Render Silent::::::DGM:Render Silent
Renegade Krasis::::::DGM:Renegade Krasis
Renounce the Guilds::::::DGM:Renounce the Guilds
Restore the Peace::::::DGM:Restore the Peace
Riot Control::::::DGM:Riot Control
Riot Piker::::::DGM:Riot Piker
Rot Farm Skeleton::::::DGM:Rot Farm Skeleton
Rubblebelt Maaka::::::DGM:Rubblebelt Maaka
Runner's Bane::::::DGM:Runner's Bane
Ruric Thar, the Unbowed::::::DGM:Ruric Thar, the Unbowed
Saruli Gatekeepers::::::DGM:Saruli Gatekeepers
Savageborn Hydra::::::DGM:Savageborn Hydra
Scab-Clan Giant::::::DGM:Scab-Clan Giant
Scion of Vitu-Ghazi::::::DGM:Scion of Vitu-Ghazi
Selesnya Cluestone::::::DGM:Selesnya Cluestone
Selesnya Guildgate::::::DGM:Selesnya Guildgate
Showstopper::::::DGM:Showstopper
Simic Cluestone::::::DGM:Simic Cluestone
Simic Guildgate::::::DGM:Simic Guildgate
Sin Collector::::::DGM:Sin Collector
Sinister Possession::::::DGM:Sinister Possession
Sire of Insanity::::::DGM:Sire of Insanity
Skylasher::::::DGM:Skylasher
Smelt-Ward Gatekeepers::::::DGM:Smelt-Ward Gatekeepers
Species Gorger::::::DGM:Species Gorger
Spike Jester::::::DGM:Spike Jester
Steeple Roc::::::DGM:Steeple Roc
Sunspire Gatekeepers::::::DGM:Sunspire Gatekeepers
Tajic, Blade of the Legion::::::DGM:Tajic, Blade of the Legion
Wear/Tear::::::DGM:WearTear
Teysa, Envoy of Ghosts::::::DGM:Teysa, Envoy of Ghosts
Thrashing Mossdog::::::DGM:Thrashing Mossdog
Tithe Drinker::::::DGM:Tithe Drinker
Toil/Trouble::::::DGM:ToilTrouble
Trait Doctoring::::::DGM:Trait Doctoring
Trostani's Summoner::::::DGM:Trostani's Summoner
Ubul Sar Gatekeepers::::::DGM:Ubul Sar Gatekeepers
Uncovered Clues::::::DGM:Uncovered Clues
Unflinching Courage::::::DGM:Unflinching Courage
Varolz, the Scar-Striped::::::DGM:Varolz, the Scar-Striped
Viashino Firstblade::::::DGM:Viashino Firstblade
Voice of Resurgence::::::DGM:Voice of Resurgence
Vorel of the Hull Clade::::::DGM:Vorel of the Hull Clade
Wake the Reflections::::::DGM:Wake the Reflections
Warleader's Helix::::::DGM:Warleader's Helix
Warped Physique::::::DGM:Warped Physique
Weapon Surge::::::DGM:Weapon Surge
Wind Drake::::::DGM:Wind Drake
Woodlot Crawler::::::DGM:Woodlot Crawler
